"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Stats task works without a shutdown_event (uses asyncio.sleep).","122","test_periodic_log_stats_no_shutdown_event","components.src.dynamo.vllm.tests","2026-04-06","passed","2026-04-06","","test_vllm_engine_monitor_stats","",""
"","1","test_sleep_level_2_unmaps_weights_and_kv_cache","tests.gms.integration","2026-04-06","passed","2026-04-06","","test_gms_vllm_worker","",""
"Test that prefill correction factor > 1 is clamped to 1.","1","test_prefill_correction_factor_clamping","components.src.dynamo.planner.tests.unit","2026-04-06","passed","2026-04-06","TestReplicaCalculation","test_replica_calculation","",""
"Test _get_average_metric with valid containers but no matches","1","test_get_average_metric_no_matching_containers","components.src.dynamo.planner.tests.unit","2026-04-06","passed","2026-04-06","","test_prometheus","",""
"
    Test dynamo deployments with different configurations.
    ","64575","test_deployment[aggregated_logprobs-2]","tests.serve","2026-04-06","passed","2026-04-06","","test_trtllm","",""
"Test get_actual_worker_counts when prefill has rollout in progress","0","test_get_actual_worker_counts_prefill_rollout_in_progress","components.src.dynamo.planner.tests.unit","2026-04-06","passed","2026-04-06","","test_kubernetes_connector","",""
"For repeated same 3-image request: low first overlap, then increase, then stable.","5662","test_vllm_mm_overlap_repeated_three_images","tests.mm_router","2026-04-06","passed","2026-04-06","","test_vllm_mm_router_e2e","",""
"Test that embeddings are extracted successfully from GPU via CUDA IPC.","17605","test_extracts_all_embeddings","components.src.dynamo.trtllm.tests.multimodal","2026-04-06","passed","2026-04-06","TestExtractEmbeddingsFromHandles","test_trtllm_cuda_ipc","",""
"Mistral tool call with no reasoning.

    The model output is:
        [TOOL_CALLS]search_gutenberg_books{""search_terms"": [""James Joyce""]}
    with no [THINK]...[/THINK] reasoning block.

    The tool parser should extract the tool call correctly, not leak the
    tool-call markup as plain content.
    ","1","test_mistral_tool_call","tests.frontend","2026-04-06","passed","2026-04-06","","test_prepost_mistral","",""
"stream_interval=20: multiple tokens per chunk.

    When </think>, <tool_call>, and the start of the JSON body arrive in a
    single CompletionOutput, the tool parser must still extract the tool call
    correctly instead of leaking raw tool-call markup into ``content``.
    ","2","test_stream_interval_20","tests.frontend","2026-04-06","passed","2026-04-06","","test_prepost","",""
